計上月,イベント名,費用カテゴリ,項目名,発注先,請求金額（税抜）,消費税,請求金額（税込）,支払日,ステータス,備考
2025-10,スマート工場EXPO 2025秋,会場費,ブースシェル工事・装飾費,東京ディスプレイ株式会社,1800000,180000,1980000,2025-10-31,支払済,2ブース連結 W3-42
2025-10,スマート工場EXPO 2025秋,会場費,展示会出展小間代（2コマ）,一般社団法人日本能率協会,1200000,120000,1320000,2025-10-31,支払済,
2025-10,スマート工場EXPO 2025秋,物流,展示品搬入・搬出費,ヤマトロジスティクス株式会社,280000,28000,308000,2025-10-31,支払済,
2025-10,スマート工場EXPO 2025秋,人件費,派遣スタッフ費（3日×3名）,パソナグループ,216000,21600,237600,2025-11-15,支払済,
2025-10,スマート工場EXPO 2025秋,販促物,パンフレット印刷（3000部）,日本カラーサービス株式会社,85000,8500,93500,2025-10-20,支払済,
2025-10,スマート工場EXPO 2025秋,販促物,ノベルティ（ボールペン3000個）,株式会社三菱鉛筆販売,120000,12000,132000,2025-10-20,支払済,
2025-10,スマート工場EXPO 2025秋,広告宣伝,公式カタログ広告掲載費,一般社団法人日本能率協会,150000,15000,165000,2025-10-15,支払済,
2025-10,スマート工場EXPO 2025秋,飲食,スタッフ弁当（3日分）,株式会社オリジン東秀,45000,4500,49500,2025-11-01,支払済,
2025-11,スマート工場EXPO 2025秋,撮影,ブース写真・動画撮影,フリーランス 中村カメラマン,80000,8000,88000,2025-11-30,支払済,事後制作
2025-11,スマート工場EXPO 2025秋,交通費,出張旅費精算（社員4名）,社内精算,98000,9800,107800,2025-11-15,支払済,
2025-12,製造業DXナレッジセミナー 2025冬季,会場費,会議室レンタル（4時間）,TKPガーデンシティPREMIUM 品川,350000,35000,385000,2025-12-31,支払済,
2025-12,製造業DXナレッジセミナー 2025冬季,講師費用,講師謝礼（村上氏）,株式会社ものづくり総研,100000,10000,110000,2025-12-31,支払済,
2025-12,製造業DXナレッジセミナー 2025冬季,講師費用,交通費実費精算（村上氏）,株式会社ものづくり総研,18500,1850,20350,2025-12-31,支払済,
2025-12,製造業DXナレッジセミナー 2025冬季,印刷,プログラム冊子（70部）,キンコーズ,12000,1200,13200,2025-12-10,支払済,
2025-12,製造業DXナレッジセミナー 2025冬季,飲食,懇親会立食（60名分）,ホテルグランパシフィック LE DAIBA,132000,13200,145200,2025-12-31,支払済,
2025-12,製造業DXナレッジセミナー 2025冬季,システム,Zoomウェビナー追加ライセンス（1ヶ月）,Zoom Video Communications,20000,2000,22000,2025-12-01,支払済,念のため遠隔参加用に準備（未使用）
